Designator,Footprint,Quantity,Value,LCSC Part #
C4,0805,1,220uF,
"D10, D15, D16, D17, D18, D7, D8, D9",0805,8,1N4002,
"H1, H2, LT1","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",3,Screw_Terminal_01x02,
J1,PinHeader_1x14_P2.54mm_Horizontal,1,Conn_01x14_Pin,
"J2, J3",PinSocket_2x04_P2.54mm_Vertical,2,Conn_02x04_Counter_Clockwise,
J4,PinHeader_1x03_P2.54mm_Horizontal,1,Conn_01x03_Socket,
Q1,TO-39-3,1,2N2219,
R1,R_Box_L8.4mm_W2.5mm_P5.08mm,1,R_Photo,
R2,0805,1,1k,
RV1,"Potentiometer_ACP_CA6-H2,5_Horizontal",1,R_Potentiometer,
SW1,SW_DIP_SPSTx02_Slide_KingTek_DSHP02TS_W7.62mm_P1.27mm,1,SW_DIP_x02,
U3,TO127P2020X500X2100-15,1,L298N,
