Designator,Mid X,Mid Y,Rotation,Layer
D1,114.6,-80.5,180.0,top
D2,122.5,-76.25,0.0,top
D3,115.0,-88.0,0.0,top
D4,115.0,-94.75,0.0,top
D5,126.1,-95.0,0.0,top
D6,124.25,-88.0,0.0,top
D7,122.85,-81.25,180.0,top
D8,114.85,-75.25,0.0,top
H1,103.195,-74.705,270.0,top
H2,104.5,-96.75,270.0,top
J1,132.55,-60.0,90.0,top
J2,166.52,-84.27,0.0,top
J3,152.52,-66.77,90.0,top
J4,148.75,-106.5,270.0,top
J5,113.23,-105.5,90.0,top
LT1,157.5,-95.46,90.0,top
Q1,137.61,-104.73,0.0,top
R1,135.505,-66.5,0.0,top
R2,130.25,-106.5,0.0,top
R3,133.8075,-69.42,0.0,top
RV1,128.5,-66.25,0.0,top
U3,133.96,-85.62,0.0,top
