"Reference","Value","Datasheet","Footprint","Qty","DNP"
"Boot1,Reset1","SW_Push","~","Button_Switch_SMD:SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS","2",""
"C1,C2,C4,C5,C9,C10","0.1uF","~","Capacitor_SMD:C_0805_2012Metric","6",""
"C3","4.7uF","~","Capacitor_SMD:C_0805_2012Metric","1",""
"C8","22uF","~","Capacitor_SMD:C_0805_2012Metric","1",""
"D1","BAT760-7","","footprints:SOD2513X120N","1",""
"D2,D3,D5","LESD5D5.0CT1G","","footprints:TVS_LESD5D5.0CT1G","3",""
"D4","LED","~","LED_SMD:LED_0805_2012Metric","1",""
"J1","USB_B_Micro","~","Connector_USB:USB_Micro-B_Molex-105133-0031","1",""
"J3","Conn_01x13_Socket","~","Connector_Phoenix_MC:PhoenixContact_MC_1,5_13-G-3.81_1x13_P3.81mm_Horizontal","1",""
"J4","Conn_01x08_Socket","~","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","1",""
"J5","Screw_Terminal_01x03","~","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MPT-0,5-3-2.54_1x03_P2.54mm_Horizontal","1",""
"L1","Conn_01x06_Socket","~","Connector_JST:JST_EH_S6B-EH_1x06_P2.50mm_Horizontal","1",""
"Q1,Q2","SS8050-G","","footprints:TRANS_SS8050-G","2",""
"R1,R3,R5,R7","1k","~","Resistor_SMD:R_0805_2012Metric","4",""
"R2,R4,R6,R8,R14","2k","~","Resistor_SMD:R_0805_2012Metric","5",""
"R9,R10,R11,R18,R20","10k","~","Resistor_SMD:R_0805_2012Metric","5",""
"R12","22.1k","~","Resistor_SMD:R_0805_2012Metric","1",""
"R13","47.5k","~","Resistor_SMD:R_0805_2012Metric","1",""
"R15,R19","3.2k","~","Resistor_SMD:R_0805_2012Metric","2",""
"R16,R17","0","~","Resistor_SMD:R_0805_2012Metric","2",""
"S1,S2,S3,S4","Conn_01x04_Socket","~","Connector_JST:JST_EH_S4B-EH_1x04_P2.50mm_Horizontal","4",""
"TP4","TestPoint","~","TestPoint:TestPoint_Pad_1.0x1.0mm","1",""
"U2","CP2102N-Axx-xQFN28","https://www.silabs.com/documents/public/data-sheets/cp2102n-datasheet.pdf","Package_DFN_QFN:QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm","1",""
"U5","ESP32-WROOM-32D","https://www.espressif.com/sites/default/files/documentation/esp32-wroom-32d_esp32-wroom-32u_datasheet_en.pdf","RF_Module:ESP32-WROOM-32D","1",""
