Designator,Footprint,Quantity,Value,LCSC Part #
"BOOT1, RESET1",SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,2,SW_Push,
"C1, C10, C2, C4, C5, C9",0805,6,0.1uF,
C3,0805,1,4.7uF,
C8,0805,1,22uF,
D1,SOD2513X120N,1,BAT760-7,
"D2, D3, D5",TVS_LESD5D5.0CT1G,3,LESD5D5.0CT1G,
"D4, D6",0805,2,LED,
J1,USB_Micro-B_Molex-105133-0031,1,USB_B_Micro,
J3,"PhoenixContact_MSTBA_2,5_13-G_1x13_P5.00mm_Horizontal",1,Conn_01x13_Socket,
J4,PinSocket_1x08_P2.54mm_Vertical,1,Conn_01x08_Socket,
J5,"TerminalBlock_Phoenix_MPT-0,5-3-2.54_1x03_P2.54mm_Horizontal",1,Screw_Terminal_01x03,
L1,PinSocket_1x06_P2.54mm_Horizontal,1,Conn_01x06_Socket,
"Q1, Q2",TRANS_SS8050-G,2,SS8050-G,
"R1, R3, R5, R7",0805,4,1k,
"R10, R11, R18, R20, R9",0805,5,10k,
R12,0805,1,22.1k,
R13,0805,1,47.5k,
"R14, R2, R4, R6, R8",0805,5,2k,
"R15, R19",0805,2,3.2k,
"R16, R17",0805,2,0,
"S1, S2, S3, S4",JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,4,Conn_01x04_Socket,
TP4,PinHeader_1x01_P2.54mm_Vertical,1,TestPoint,
U2,QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,1,CP2102N-Axx-xQFN28,
U5,ESP32-WROOM-32D,1,ESP32-WROOM-32D,
