Designator,Mid X,Mid Y,Rotation,Layer
BOOT1,190.75,-141.25,0.0,top
C1,142.75,-123.5,180.0,top
C10,166.61974,-114.55,270.0,top
C2,173.0,-120.5,0.0,top
C3,142.66974,-108.0,0.0,top
C4,149.0,-86.5,0.0,top
C5,147.06974,-108.0,0.0,top
C8,151.0,-77.5,0.0,top
C9,145.0,-77.5,180.0,top
D1,143.75,-87.5,270.0,top
D2,173.25,-139.25,270.0,top
D3,140.27974,-112.5,180.0,top
D4,174.25,-101.25,270.0,top
D5,160.45974,-122.5,180.0,top
J1,179.95,-142.825,0.0,top
J3,128.88,-138.5,0.0,top
J4,117.0,-96.015,0.0,top
J5,105.505,-112.5,270.0,top
L1,126.2,-55.3325,0.0,top
Q1,166.66974,-107.5,270.0,top
Q2,168.60974,-102.51,0.0,top
R1,105.5,-61.0,0.0,top
R10,166.61974,-97.0,0.0,top
R11,153.75,-122.0,270.0,top
R12,153.61974,-103.5,180.0,top
R13,145.61974,-116.5,90.0,top
R14,147.5875,-122.0,0.0,top
R15,107.0,-91.205,180.0,top
R16,169.0,-85.0,270.0,top
R17,172.5,-81.0,270.0,top
R18,171.61974,-113.5,180.0,top
R19,110.5,-99.205,270.0,top
R2,110.4125,-62.0,270.0,top
R20,153.75,-86.75,0.0,top
R3,112.0,-76.5,0.0,top
R4,117.0625,-78.0875,270.0,top
R5,186.5,-87.5,180.0,top
R6,183.7,-89.5,270.0,top
R7,187.5,-72.0,180.0,top
R8,187.6,-77.5875,270.0,top
R9,162.11974,-104.5,270.0,top
RESET1,164.5,-141.25,0.0,top
S1,106.75,-55.5,0.0,top
S2,105.5,-72.25,90.0,top
S3,195.9675,-102.5,270.0,top
S4,195.9675,-84.25,270.0,top
U2,153.49974,-112.5,90.0,top
U5,164.0,-64.43,0.0,top
